,question,groundtruth,chatbot_response,similar_questions,accuracy
0,GEM Center mang đến cho khách hàng của mình không gian gì?,GEM Center mang đến cho khách hàng của mình không gian đa chức năng cho mọi loại hình sự kiện.,"GEM Center mang đến cho khách hàng của mình không gian đa chức năng cho mọi loại hình sự kiện như phòng hội thảo, phòng triển lãm, không gian choáng ngợp cho dạ tiệc cả ngàn khách, sân khấu âm nhạc sôi động và sàn diễn thời trang hoành tráng.","['GEM Center có thể tổ chức những sự kiện gì?', 'GEM Center nằm ở đâu?', 'GEM Center có không gian sảnh dành cho sự kiện lớn nhất không?']",1
1,Chùa Việt Nam Quốc Tự được xây dựng theo kiến trúc nào?,Chùa Việt Nam Quốc Tự được xây dựng theo kiến trúc chùa cổ miền Bắc.,"Chùa Việt Nam Quốc Tự được xây dựng theo kiến trúc chùa cổ miền Bắc với màu vàng làm chủ chủ đạo và mái ngói vảy màu đỏ nâu. Mái chùa xây dựng nhiều tầng, đầu mái công vuốt hình đầu đao, được điêu khắc đầu rồng rất tinh xảo.","['Chùa Việt Nam Quốc Tự có mấy tầng?', 'Ai là người xây dựng Chùa Việt Nam Quốc Tự?', 'Chùa Việt Nam Quốc Tự nằm ở đâu?']",1
2,Bên trong chánh điện của chùa Việt Nam Quốc Tự có gì?,"Bên trong chánh điện của chùa Việt Nam Quốc Tự có Tượng Phật do Tăng Ni, Phật tử miền Bắc cung tiến với kỹ thuật của các nghệ nhân làng đồng Ý Yên (Nam Định), tôn tạo và hoàn thiện tại chỗ.","Bên trong chánh điện của chùa Việt Nam Quốc Tự có một bảo tháp bằng gỗ cao 13m, bên trong tôn trí tượng Phật Thích ca bằng đồng cao 7,2m, nặng 7,2 tấn. Công trình này được công nhận là ngôi tịnh xá có bảo tháp bằng gỗ thờ Phật trong chánh điện lớn nhất Việt Nam.","['Chùa Việt Nam Quốc Tự có kết cấu chính như thế nào?', 'Chùa Việt Nam Quốc Tự có công trình nổi bật nào?', 'Bên trong chánh điện của chùa Việt Nam Quốc Tự có gì đặc biệt?']",1
3,Đền thờ vua Hùng được chống đỡ bằng những gì?,12 cây gỗ mật màu đen bóng,"Đền thờ vua Hùng được chống đỡ bằng 12 cây gỗ mật màu đen bóng, đường kính 50cm, tượng trưng cho 12 Can Chi của văn hóa Á Đông.","['Đền thờ vua Hùng được xây dựng bằng chất liệu gì?', 'Đền thờ vua Hùng có những công trình trạm khắc gỗ gì?', 'Đền thờ vua Hùng có những tượng trưng gì?']",1
4,Các công trình trạm khắc gỗ ở bái điện có những hình tượng gì?,"Bao lam tứ linh, bao lam cửu long và các phù điêu trên các hương án chạm các ngôi chùa danh tiếng","Các công trình trạm khắc gỗ ở bái điện có bao lam tứ linh, bao lam cửu long và các phù điêu trên các hương án chạm các ngôi chùa danh tiếng ở trong nước và một số nước Châu Á.","['Các công trình trạm khắc gỗ ở bái điện có những hình tượng nào?', 'Các hình tượng trạm khắc gỗ ở bái điện là gì?', 'Bái điện có những hình tượng gỗ nào?']",1
5,Dơi tập trung ở đâu?,Dơi tập trung trên một vùng đảo đước nhỏ duy nhất trong đầm.,Dơi tập trung trên một vùng đảo đước nhỏ duy nhất trong đầm.,"['Dơi sống ở đâu?', 'Vùng đảo nào có dơi tập trung?', 'Dơi tập trung do nguyên nhân gì?']",1
6,Tháp Tang bồng nằm ở đâu?,Tháp Tang bồng nằm ở Khu du lịch sinh thái Vàm Sát.,Tháp Tang bồng nằm ở Khu du lịch sinh thái Vàm Sát.,"['Tháp Tang bồng được xây bằng chất liệu gì?', 'Công ty nào đã xây dựng Tháp Tang bồng?', 'Tháp Tang bồng có mấy tầng quan sát?']",1
7,Tượng Phật Thích ca trong chánh điện được làm bằng gì?,Tượng Phật Thích ca trong chánh điện được làm bằng đồng.,Tượng Phật Thích ca trong chánh điện được làm bằng đồng.,"['Chánh điện có kết cấu chính bằng gì?', 'Ai là người tôn trí tượng Phật Thích ca trong chánh điện?', 'Chánh điện lớn nhất Việt Nam là công trình gì?']",1
8,Phòng trưng bày nào thể hiện về 15 năm tù Côn Đảo của Chủ tịch Tôn Đức Thắng?,15 năm tù Côn Đảo,Phòng trưng bày về 15 năm tù Côn Đảo của Chủ tịch Tôn Đức Thắng là một trong 05 phòng trưng bày thường trực tại Bảo tàng Tôn Đức Thắng.,"['Bảo tàng Tôn Đức Thắng có bao nhiêu phòng trưng bày?', 'Bảo tàng Tôn Đức Thắng nằm ở địa chỉ nào?', 'Thời gian hoạt động của Bảo tàng Tôn Đức Thắng là khi nào?']",1
9,Bảo tàng Tôn Đức Thắng có các chuyên đề mở rộng liên quan đến hoạt động nào của Chủ tịch Tôn Đức Thắng?,hoạt động của Chủ tịch Tôn Đức Thắng,"Các chuyên đề mở rộng liên quan đến hoạt động của Chủ tịch Tôn Đức Thắng bao gồm: Viên ngọc Côn Sơn, Bác Hồ và Bác Tôn, Cuộc sống đời thường của Chủ tịch Tôn Đức Thắng, Bác Tôn trong lòng nhân dân thế giới.","['Bảo tàng Tôn Đức Thắng có những chuyên đề mở rộng nào?', 'Các chuyên đề mở rộng liên quan đến Chủ tịch Tôn Đức Thắng là gì?', 'Bảo tàng Tôn Đức Thắng có trưng bày những gì về Chủ tịch Tôn Đức Thắng?']",1
10,Thời kỳ nào là nơi khởi nguồn của những nền văn hóa đặc sắc?,Thời dựng nước và giữ nước (2.879 TR. CN - 938),"Thời kỳ mở rộng địa bàn sinh sống để phát triển kinh tế, văn hóa là nơi khởi nguồn của những nền văn hóa đặc sắc.","['Thời kỳ nào là nơi hình thành nền tảng của văn hóa Việt Nam?', 'Thời kỳ nào là thời kỳ dựng nước và giữ nước đầu tiên của dân tộc Việt Nam?', 'Thời kỳ nào là thời kỳ xây dựng nền văn minh nông nghiệp của Việt Nam?']",1
11,Thánh Gióng là nhân vật huyền sử thời nào?,Thời Hùng Vương thứ 6,Thánh Gióng là nhân vật huyền sử thời Hùng Vương thứ 6 dựng nước.,"['Thánh Gióng là ai?', 'Thời gian Thánh Gióng sống là khi nào?', 'Thánh Gióng có công lao gì trong lịch sử Việt Nam?']",1
12,Ngôi tịnh xá có bảo tháp bằng gỗ thờ Phật lớn nhất Việt Nam là ở đâu?,Chánh điện,Ngôi tịnh xá có bảo tháp bằng gỗ thờ Phật lớn nhất Việt Nam là Pháp viện Minh Đăng Quang.,"['Pháp viện Minh Đăng Quang nằm ở đâu?', 'Pháp viện Minh Đăng Quang có những kỷ lục nào?', 'Ngôi tịnh xá nào có bảo tháp bằng gỗ thờ Phật lớn nhất Việt Nam?']",1
13,Chất liệu truyền thống của áo dài Việt Nam là gì?,"Tơ tằm, đay, gai, sợi bông","Chất liệu truyền thống của áo dài Việt Nam bao gồm tơ tằm, đay, gai và sợi bông.","['Áo dài Việt Nam được làm từ những chất liệu gì?', 'Các loại vải truyền thống được sử dụng để may áo dài là gì?', 'Áo dài Việt Nam thường được làm từ những loại vải nào?']",1
14,Triều Lý có những dấu ấn sâu đậm trên những phương diện nào?,"Văn hóa, tôn giáo, pháp luật, kinh tế, chính trị",Not relevant,"['Có những địa danh nổi tiếng nào ở Việt Nam?', 'Có những món ăn truyền thống nào ở Việt Nam?', 'Có những lễ hội truyền thống nào ở Việt Nam?']",0
15,Lịch sử của vương quốc Champa được phục dựng thông qua những nguồn tài liệu nào?,"Văn bản của Trung Quốc, bản khắc tiếng Phạn và tiếng Chăm cổ, Biên niên sử các triều đại Việt Nam","Lịch sử của các vương quốc Champa đã được phục dựng một phần thông qua các văn bản của Trung Quốc (Biên niên sử các triều đại, báo cáo của các sứ thần), các bản khắc bằng tiếng Phạn và tiếng Chăm cổ, cũng như những cuốn Biên niên sử các triều đại Việt Nam.","['Các nguồn tài liệu nào đã phục dựng lại lịch sử của vương quốc Champa?', 'Lịch sử của vương quốc Champa được tái hiện như thế nào?', 'Các văn bản nào đã giúp phục dựng lại lịch sử của vương quốc Champa?']",1
16,Chợ Bình Tây nằm ở địa chỉ nào?,"57A Tháp Mười - P.2, Q.6","Chợ Bình Tây nằm ở địa chỉ 07 Công Trường Lam Sơn, Bến Nghé, Quận 1, TP.HCM.","['Chợ Bình Tây nằm ở địa chỉ nào?', 'Chợ Bình Tây ở thành phố nào?', 'Chợ Bình Tây thuộc quận nào?']",0
17,Hồ Con Rùa nằm ở đâu?,Thành phố Hồ Chí Minh,"Hồ Con Rùa nằm ở trung tâm Thành phố Hồ Chí Minh, có tên chính thức là Công trường Quốc tế.","['Hồ Con Rùa có tên chính thức là gì?', 'Hồ Con Rùa nằm ở thành phố nào?', 'Hồ Con Rùa có những tuyến đường nào giao nhau?']",1
18,Địa chỉ của Bảo tàng Chứng tích chiến tranh là gì?,"Địa chỉ của Bảo tàng Chứng tích chiến tranh là 26, đường Võ Văn Tần, phường Võ Thị Sáu, Quận 3.","Bảo tàng Chứng tích chiến tranh có địa chỉ tại 26, đường Võ Văn Tần, phường Võ Thị Sáu, Quận 3.","['Bảo tàng Chứng tích chiến tranh ở đâu?', 'Bảo tàng Chứng tích chiến tranh nằm ở địa điểm nào?', 'Địa chỉ của Bảo tàng Chứng tích chiến tranh là gì?']",1
19,Landmark 81 có chiều cao bao nhiêu?,"461,2 m","Landmark 81 có chiều cao 461,2 m.","['Landmark 81 là tòa nhà cao nhất Việt Nam?', 'Landmark 81 có bao nhiêu tầng?', 'Landmark 81 được xây dựng ở địa chỉ nào?']",1
20,Khu du lịch Suối Tiên có bao nhiêu công trình vui chơi giải trí?,Trên 150 công trình,Khu du lịch Suối Tiên có trên 150 công trình vui chơi giải trí.,"['Suối Tiên có những khu vui chơi giải trí nào?', 'Diện tích của Suối Tiên là bao nhiêu?', 'Địa chỉ của Suối Tiên là gì?']",1
21,Công trình này bao gồm những gì?,"Một vòng xoay giao thông với đường kính khoảng gần 100 mét, cây xanh, hồ phun nước hình bát giác, 4 đường đi bộ xoắn ốc và tượng con rùa bằng hợp kim.","Công trình này bao gồm tượng đài và công viên, với các hạng mục điêu khắc như nhóm tượng người mẹ và chiến sĩ, quần thể tượng Trung dũng kiên cường toàn dân đánh giặc, 8 trụ rồng, 2 tranh hoành tráng, hồ phun nước nghệ thuật và 2 phòng trưng bày sự kiện lịch sử. Ngoài ra, công trình còn có một vòng xoay giao thông trang trí bằng cây xanh và hồ phun nước hình bát giác, cùng với hình tượng con rùa bằng hợp kim đội trên lưng bia đá lớn.","['Công trình này được xây dựng vào năm nào?', 'Ai là người điêu khắc tượng đài này?', 'Công trình này có diện tích bao nhiêu?']",1
22,Công viên Nước Đầm Sen có những thiết bị gì?,Công viên Nước Đầm Sen có 36 thiết bị trò chơi dưới nước và một hồ tạo sóng mát lạnh rộng 3000m2.,Công viên Nước Đầm Sen có 36 thiết bị trò chơi dưới nước hiện đại cùng một hồ tạo sóng mát lạnh rộng 3000m2.,"['Công viên Nước Đầm Sen có diện tích bao nhiêu?', 'Công viên Nước Đầm Sen có gì đặc biệt?', 'Công viên Nước Đầm Sen có nhà hàng không?']",1
23,Vị trí của khu du lịch sinh thái Vàm Sát nằm ở đâu?,"xã Lý Nhơn, huyện Cần Giờ, Thành phố Hồ Chí Minh","Khu du lịch sinh thái Vàm Sát nằm trên địa bàn xã Lý Nhơn, huyện Cần Giờ TP.HCM.","['Vị trí của khu du lịch sinh thái Vàm Sát là ở đâu?', 'Khu du lịch sinh thái Vàm Sát nằm ở địa chỉ nào?', 'Vàm Sát Ecopark nằm ở đâu?']",1
24,Cái gì được nuôi thả trong đầm lầy tự nhiên ở Vàm Sát?,cá sấu Xiêm và cá sấu Hoa Cà,Cá sấu Xiêm và cá sấu Hoa Cà được nuôi thả trong đầm lầy tự nhiên ở Vàm Sát.,"['Cái gì được nuôi trong đầm lầy tự nhiên ở Vàm Sát?', 'Loài động vật nào được nuôi thả ở Vàm Sát?', 'Vàm Sát nuôi những loài gì trong đầm lầy tự nhiên?']",0
25,Thảo Cầm Viên Sài Gòn có bao nhiêu cá thể động vật?,Hơn 1000,Thảo Cầm Viên Sài Gòn có hơn 1000 cá thể động vật.,"['Thảo Cầm Viên Sài Gòn có bao nhiêu loài cây gỗ?', 'Thời gian hoạt động của Thảo Cầm Viên Sài Gòn là khi nào?', 'Giá vé vào Thảo Cầm Viên Sài Gòn là bao nhiêu?']",1
26,Vườn Nhật Bản nằm trong cụm vườn hoa nào?,Nam tú thượng uyển Đầm Sen,Vườn Nhật Bản nằm trong cụm vườn hoa Nam tú thượng uyển Đầm Sen.,"['Vườn Nhật Bản nằm ở đâu?', 'Cụm vườn hoa nào chứa Vườn Nhật Bản?', 'Vườn Nhật Bản thuộc khu vực nào?']",1
27,Bến Nhà Rồng còn được biết đến là gì?,Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh.,Bến Nhà Rồng còn được biết đến là Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh.,"['Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh nằm ở đâu?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh trưng bày những gì?', 'Bảo tàng Hồ Chí Minh - chi nhánh Thành phố Hồ Chí Minh có địa chỉ gì?']",1
28,Công trình này bao gồm những yếu tố gì?,"Một vòng xoay giao thông, cây xanh, hồ phun nước, tượng con rùa","Công trình này bao gồm các yếu tố kiến trúc Pháp - Việt, phong cách Đông Dương, triển lãm về lịch sử Việt Nam và văn hóa phương Nam của Việt Nam và một số nước Châu Á.","['Bảo tàng Lịch sử Thành phố Hồ Chí Minh có những phòng trưng bày gì?', 'Công trình Diên Niên Bửu Phước Dinh có điểm đặc biệt gì?', 'Hồ Lạc Cảnh có những hoạt động gì cho du khách?']",1
29,Ngày nào Đảng Cộng sản Việt Nam được thành lập?,3/2/1930,Ngày 3/2/1930,"['Đảng Cộng sản Việt Nam được thành lập vào ngày nào?', 'Ngày thành lập của Đảng Cộng sản Việt Nam là khi nào?', 'Đảng Cộng sản Việt Nam ra đời vào ngày nào?']",1
30,GEM Center nằm ở đâu?,"08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM","GEM Center nằm ở địa chỉ 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM.","['GEM Center có không gian sảnh dành cho sự kiện lớn nhất ở đâu?', 'GEM Center có thể làm phòng hội thảo ở đâu?', 'GEM Center có không gian choáng ngợp cho dạ tiệc ở đâu?']",1
