question,groundtruth,chatbot_response,similar_questions,accuracy
GEM Center mang đến cho khách hàng của mình không gian gì?,GEM Center mang đến cho khách hàng của mình không gian đa chức năng cho mọi loại hình sự kiện.,"GEM Center mang đến cho khách hàng của mình không gian đa chức năng cho mọi loại hình sự kiện như phòng hội thảo, phòng triển lãm, không gian choáng ngợp cho dạ tiệc cả ngàn khách, sân khấu âm nhạc sôi động và sàn diễn thời trang hoành tráng.","['GEM Center có địa chỉ ở đâu?', 'GEM Center là địa điểm nào?', 'GEM Center có những không gian nào?']",1
GEM Center được xem là địa điểm có không gian sảnh dành cho sự kiện lớn nhất ở đâu?,"GEM Center được xem là địa điểm có không gian sảnh dành cho sự kiện lớn nhất nằm ngay tại khu vực trung tâm của Quận 1, Thành phố Hồ Chí Minh.","GEM Center được xem là địa điểm có không gian sảnh dành cho sự kiện lớn nhất nằm ngay tại khu vực trung tâm của Quận 1, Thành phố Hồ Chí Minh.","['GEM Center nằm ở đâu?', 'GEM Center có chức năng gì?', 'GEM Center có không gian sảnh dành cho sự kiện lớn nhất không?']",1
GEM Center có thể làm những loại hình sự kiện nào?,"GEM Center có thể là phòng hội thảo cho cả tập đoàn, là phòng triển lãm, là không gian choáng ngợp cho dạ tiệc cả ngàn khách, là sân khấu âm nhạc sôi động hay sàn diễn thời trang hoành tráng.","GEM Center có thể làm phòng hội thảo, phòng triển lãm, không gian choáng ngợp cho dạ tiệc, sân khấu âm nhạc và sàn diễn thời trang.","['GEM Center có địa chỉ ở đâu?', 'GEM Center có không gian ngoài trời không?', 'GEM Center có phòng chờ không?']",1
Địa chỉ của GEM Center là gì?,"Địa chỉ của GEM Center là 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM","Địa chỉ của GEM Center là 08 Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, TP.HCM.","['GEM Center nằm ở đâu?', 'Địa chỉ GEM Center ở thành phố nào?', 'GEM Center ở quận mấy?']",1
GEM Center là nguồn thông tin từ đâu?,GEM Center là nguồn thông tin từ http://gemcenter.com.vn/HỘI TRƯỜNG,GEM Center là nguồn thông tin từ trang web http://gemcenter.com.vn/,"['GEM Center nằm ở đâu?', 'GEM Center có chức năng gì?', 'GEM Center là địa điểm sự kiện lớn nhất ở đâu?']",1
Chùa Việt Nam Quốc Tự được xây dựng theo kiến trúc nào?,Chùa Việt Nam Quốc Tự được xây dựng theo kiến trúc chùa cổ miền Bắc.,"Chùa Việt Nam Quốc Tự được xây dựng theo kiến trúc chùa cổ miền Bắc với màu vàng làm chủ chủ đạo và mái ngói vảy màu đỏ nâu. Mái chùa xây dựng nhiều tầng, đầu mái công vuốt hình đầu đao, được điêu khắc đầu rồng rất tinh xảo.","['Chùa Việt Nam Quốc Tự có mấy tầng?', 'Ai là người xây dựng Chùa Việt Nam Quốc Tự?', 'Chùa Việt Nam Quốc Tự nằm ở đâu?']",1
Màu chủ đạo của chùa Việt Nam Quốc Tự là gì?,Màu chủ đạo của chùa Việt Nam Quốc Tự là màu vàng.,Màu chủ đạo của chùa Việt Nam Quốc Tự là màu vàng.,"['Chùa Việt Nam Quốc Tự được xây dựng theo kiến trúc nào?', 'Các hạng mục kiến trúc lớn nhỏ của chùa Việt Nam Quốc Tự được xây dựng như thế nào?', 'Chùa Việt Nam Quốc Tự có diện tích bao nhiêu?']",1
Mái chùa xây dựng như thế nào?,"Mái chùa xây dựng nhiều tầng, đầu mái công vuốt hình đầu đao và được điêu khắc đầu rồng.","Mái chùa xây dựng nhiều tầng, đầu mái công vuốt hình đầu đao, được điêu khắc đầu rồng rất tinh xảo.","['Chùa Việt Nam Quốc Tự có kiến trúc như thế nào?', 'Mái chùa của Chùa Việt Nam Quốc Tự được xây dựng như thế nào?', 'Kiến trúc của Chùa Việt Nam Quốc Tự như thế nào?']",1
Các hạng mục kiến trúc lớn nhỏ trong khuôn viên chùa Việt Nam Quốc Tự bao gồm những gì?,"Các hạng mục kiến trúc lớn nhỏ trong khuôn viên chùa Việt Nam Quốc Tự bao gồm cổng tam quan, ngôi Chính điện, Tháp bảo 13 tầng, viện Đại học Phương Nam, cô nhi viện Quách Thị Trang và các điện thờ, tượng Phật.","Các hạng mục kiến trúc lớn nhỏ trong khuôn viên chùa Việt Nam Quốc Tự bao gồm cổng tam quan, ngôi Chính điện, Tháp bảo 13 tầng, viện Đại học Phương Nam, cô nhi viện Quách Thị Trang và các điện thờ, tượng Phật trong khuôn viên sân chùa.","['Chùa Việt Nam Quốc Tự có những hạng mục kiến trúc nào?', 'Trong khuôn viên chùa Việt Nam Quốc Tự có những công trình nào?', 'Các công trình kiến trúc lớn nhỏ trong chùa Việt Nam Quốc Tự gồm những gì?']",1
Dãy hành lang của chùa Việt Nam Quốc Tự được thiết kế như thế nào?,Dãy hành lang của chùa Việt Nam Quốc Tự được thiết kế hài hòa để du khách vừa vãn cảnh và vừa chiêm ngưỡng toàn cảnh tòa bảo tháp.,"Dãy hành lang của chùa Việt Nam Quốc Tự được thiết kế hài hòa để du khách vừa vãn cảnh, vừa chiêm ngưỡng toàn cảnh tòa bảo tháp.","['Chùa Việt Nam Quốc Tự có kiến trúc như thế nào?', 'Cấu trúc tổng thể của chùa Việt Nam Quốc Tự bao gồm những gì?', 'Dãy hành lang của chùa Việt Nam Quốc Tự được thiết kế như thế nào để thu hút du khách?']",1
